country,player_id,player_name,dob,position
Chile,57675,Carlos Schneberger,21/06/1902,FW
Chile,59596,Carlos Vidal,24/02/1902,FW
Chile,59062,Casimiro Torres,01/01/1906,MF
Chile,170944,Cesar Espinoza,,GK
Chile,59629,Eberardo Villalobos,01/04/1908,FW
Chile,47536,Ernesto Chaparro,04/01/1901,DF
Chile,45761,Guillermo Arellano,21/08/1908,FW
Chile,69373,Guillermo Riveros,10/02/1902,DF
Chile,57265,Guillermo Saavedra,05/11/1903,MF
Chile,58531,Guillermo Subiabre,25/02/1903,FW
Chile,69375,Horacio Munoz,,FW
Chile,69371,Humberto Elgueta,,MF
Chile,45071,Juan Aguilera,,FW
Chile,47995,Roberto Cortes,02/02/1905,GK
Chile,55487,Tomas Ojeda,20/04/1910,FW
Chile,56356,Ulises Poirier,02/02/1897,DF
Chile,54493,Victor Morales,10/05/1905,DF
France,58899,Alex Thepot,30/07/1906,GK
France,59637,Alex Villaplane,12/09/1903,MF
France,53765,Andre Maschinot,28/06/1903,FW
France,69366,Andre Tassin,23/02/1902,GK
France,47531,Augustin Chantrel,11/11/1906,MF
France,48405,Celestin Delmer,15/02/1907,MF
France,48382,Edmond Delfour,01/11/1907,FW
France,59523,Emile Veinante,12/06/1907,FW
France,53011,Ernest Liberati,22/03/1908,FW
France,53852,Etienne Mattler,25/12/1905,DF
France,69368,Jean Laurent,30/12/1906,MF
France,29657,Lucien Laurent,10/12/1907,FW
France,47273,Marcel Capelle,11/12/1904,DF
France,52726,Marcel Langiller,02/06/1908,FW
France,56299,Marcel Pinel,08/07/1908,MF
France,69367,Nouma Andoire,19/03/1908,DF
Mexico,57483,Alfredo Sanchez,,MF
Mexico,54039,Dionisio Mejia,06/01/1907,FW
Mexico,45536,Efrain Amezcua,,MF
Mexico,55525,Felipe Olivares,05/02/1910,FW
Mexico,57129,Felipe Rosas,05/02/1910,MF
Mexico,50383,Francisco Garza Gutierrez,01/01/1904,DF
Mexico,53170,Hilario Lopez,18/11/1907,FW
Mexico,58282,Isidoro Sota,04/02/1902,GK
Mexico,69369,Jesus Castro,,FW
Mexico,57207,Jose Ruiz,01/01/1904,FW
Mexico,47331,Juan Carreno,14/08/1907,FW
Mexico,182417,Luis Perez,01/01/1907,FW
Mexico,57131,Manuel Rosas,17/04/1912,DF
Mexico,46750,Oscar Bonfiglio,05/10/1905,GK
Mexico,50387,Rafael Garza,14/03/1904,DF
Mexico,57027,Raimundo Rodriguez,15/04/1905,MF
Mexico,49834,Roberto Gayon,01/01/1905,FW
Paraguay,69435,Amadeo Ortega,,FW
Paraguay,50080,Aurelio Gonzalez,25/09/1905,FW
Paraguay,69433,Bernabe Rivera,,FW
Paraguay,69436,Cayetano Carreras Sagueir,,FW
Paraguay,47150,Delfin Benitez Caceres,24/10/1910,FW
Paraguay,69432,Diego Florentin,,MF
Paraguay,48669,Diogenes Dominguez,01/01/1902,FW
Paraguay,48525,Eusebio Diaz,01/01/1901,MF
Paraguay,69431,Eustaquio Chamorro,,DF
Paraguay,45077,Francisco Aguirre,01/01/1908,MF
Paraguay,57096,Gerardo Romero,01/01/1906,FW
Paraguay,69434,Jacinto Villalba,,FW
Paraguay,54282,Jose Leon Miracca,23/09/1903,DF
Paraguay,55057,Lino Nessi,01/01/1904,FW
Paraguay,56077,Luis Vargas Pena,01/01/1905,FW
Paraguay,48426,Modesto Denis,01/01/1901,GK
Paraguay,198016,Pedro Benitez,12/01/1901,GK
Paraguay,55547,Quiterio Olmedo,21/12/1907,DF
Paraguay,49158,Romildo Etcheverry,01/01/1907,MF
Paraguay,49489,Salvador Flores,01/01/1906,DF
Paraguay,46450,Santiago Benitez,01/01/1903,MF
Paraguay,49757,Tranquilino Garcete,01/01/1907,MF
Peru,48421,Alberto Denegri,,MF
Peru,58266,Alberto Soria,24/01/1900,DF
Peru,59634,Alejandro Villanueva,04/06/1908,FW
Peru,53609,Antonio Maquilon,29/11/1902,DF
Peru,69405,Arturo Fernandez,03/02/1910,DF
Peru,69407,Carlos Cilloniz,01/07/1910,FW
Peru,55080,Demetrio Neyra,15/12/1908,FW
Peru,49763,Domingo Garcia,01/01/1904,MF
Peru,45885,Eduardo Astengo,,MF
Peru,182326,Jorge Gongora,12/10/1906,FW
Peru,55932,Jorge Pardon,04/03/1905,GK
Peru,182327,Jorge Sarmiento,02/11/1900,FW
Peru,49485,Jose Flores,, 
Peru,52809,Jose Maria Lavalle,05/06/1911,FW
Peru,182328,Juan Alfonso Valle,01/01/1905,MF
Peru,59343,Juan Valdivieso,06/05/1910,GK
Peru,69402,Julio Lores,15/09/1908,FW
Peru,69404,Julio Quintana,01/01/1904,MF
Peru,69403,Lizardo Nue Rodriguez,30/08/1910,FW
Peru,58313,Luis Souza,06/10/1908,FW
Peru,48309,Mario De Las Casas,12/08/1905,DF
Peru,69406,Pablo Pacheco,,FW
Peru,49705,Placido Galindo,09/03/1902,MF
Romania,48467,Adalbert Desu,24/03/1909,FW
Romania,58409,Adalbert Steiner,24/01/1907,DF
Romania,49407,Alfred Eisenbeisser,07/04/1908,MF
Romania,58384,Constantin Stanciu,01/01/1911,FW
Romania,56972,Corneliu Robe,23/05/1908,MF
Romania,59693,Emerich Vogl,12/08/1905,DF
Romania,69400,Ilile Subaseanu,01/01/1906,FW
Romania,52738,Ion Lapusneanu,08/12/1908,GK
Romania,69399,Iosif Czako,11/06/1906,DF
Romania,56587,Ladislau Raffinsky,23/04/1905,MF
Romania,52463,Nicolae Kovacs,29/12/1911,FW
Romania,47067,Rudolf Buerger,31/10/1908,DF
Romania,59918,Rudolf Wetzer,17/03/1901,FW
Romania,69401,Samuel Zauber,01/01/1901,GK
Romania,69398,Stefan Barbu,02/03/1908,FW
Uruguay,49893,Alvaro Gestido,17/05/1907,MF
Uruguay,69411,Angel Melogno,22/03/1905,MF
Uruguay,69413,Carlos Riolfo,05/11/1905,MF
Uruguay,69410,Conduelo Piriz,09/10/1904,MF
Uruguay,58837,Domingo Tejera,27/07/1899,DF
Uruguay,69412,Emilio Recoba,03/11/1904,DF
Uruguay,46133,Enrique Ballestrero,18/01/1905,GK
Uruguay,53764,Ernesto Mascheroni,21/11/1907,DF
Uruguay,47398,Hector Castro,29/11/1904,FW
Uruguay,57652,Hector Scarone,26/11/1898,FW
Uruguay,45617,Jose Andrade,22/11/1901,MF
Uruguay,174795,Jose Nasazzi,24/05/1901,DF
Uruguay,45675,Juan Anselmo,30/04/1902,FW
Uruguay,69408,Juan Carlos Calvo,26/06/1906,FW
Uruguay,49351,Lorenzo Fernandez,20/05/1900,MF
Uruguay,69409,Miguel Cappuccini,05/01/1904,GK
Uruguay,48687,Pablo Dorado,22/06/1908,FW
Uruguay,47419,Pedro Cea,01/09/1900,FW
Uruguay,56200,Pedro Petrone,11/05/1905,FW
Uruguay,59283,Santos Urdinaran,30/03/1900,FW
Uruguay,51279,Victoriano Iriarte,01/11/1902,FW
Uruguay,69414,Zoilo Saldombide,18/03/1905,FW
USA,60034,Alexander Wood,12/06/1907,DF
USA,45930,Andrew Auld,26/01/1900,FW
USA,69426,Arnie Oliver,22/05/1907,MF
USA,53957,Bart Mcghee,30/04/1899,FW
USA,55992,Bert Patenaude,04/11/1909,FW
USA,50076,Billy Gonsalves,10/08/1908,FW
USA,69422,Frank Vaughn,18/02/1902,DF
USA,54468,George Moorhouse,04/05/1901,DF
USA,46989,Jim Brown,31/12/1908,FW
USA,69424,Jim Gentle,21/07/1904,FW
USA,48705,Jimmy Douglas,12/01/1898,GK
USA,49709,Jimmy Gallagher,07/06/1901,MF
USA,69423,Mike Bookie,12/09/1904,MF
USA,69425,Phil Slone,20/01/1907,MF
USA,59115,Ralph Tracy,23/12/1904,DF
USA,49494,Tom Florie,06/09/1897,FW
Yugoslavia,61698,Aleksandar Tirnanic,15/07/1911,FW
Yugoslavia,53657,Blagoje Marjanovic,09/09/1907,FW
Yugoslavia,69378,Branislav Hrnjicek,05/06/1908,FW
Yugoslavia,57803,Branislav Sekulic,29/10/1906,FW
Yugoslavia,59734,Djordje Vujadinovic,06/12/1909,FW
Yugoslavia,54213,Dragan Mihajlovic,13/12/1906,DF
Yugoslavia,59085,Dragan Tosic,08/11/1909,DF
Yugoslavia,54923,Dragutin Najdanovic,15/04/1908,FW
Yugoslavia,46364,Ivica Bek,29/10/1909,FW
Yugoslavia,58397,Ljubisa Stefanovic,04/01/1910,DF
Yugoslavia,69376,Milan Stojanovic,,GK
Yugoslavia,45819,Milorad Arsenijevic,06/06/1906,MF
Yugoslavia,51407,Milovan Jaksic,21/09/1909,GK
Yugoslavia,51343,Milutin Ivkovic,03/03/1906,DF
Yugoslavia,48622,Momcilo Djokic,27/02/1911,MF
Yugoslavia,69377,Teofilo Spasojevic,21/01/1909,MF
Yugoslavia,314360,Vlastimir Petkovic,, 
Argentina,49694,Alberto Galateo,01/01/1913,FW
Argentina,69474,Alfonso Lorenzo,,MF
Argentina,48333,Alfredo De Vincenzi,24/01/1911,FW
Argentina,69470,Angel Grippa,,GK
Argentina,53160,Arcadio Lopez,15/09/1910,MF
Argentina,59281,Costantino Urbieta Sosa,12/08/1907,MF
Argentina,69471,Enrique Chimento,,DF
Argentina,69472,Ernesto Albarracin,,MF
Argentina,46383,Ernesto Belis,01/02/1909,DF
Argentina,59939,Federico Wilde,01/01/1909,FW
Argentina,57181,Francisco Rua,04/02/1911,FW
Argentina,49606,Hector Freschi,22/05/1911,GK
Argentina,55028,Jose Nehin,01/01/1911,MF
Argentina,56047,Juan Pedevilla,06/06/1909,DF
Argentina,69473,Luca Izzeta,,FW
Argentina,70077,Ramon Astudillo,,DF
Argentina,51274,Roberto Iraneta,21/03/1915,FW
Argentina,69475,Vincente Perez,,FW
Austria,69521,Anton Janda,01/05/1904,DF
Austria,47794,Franz Cisar,28/11/1908,DF
Austria,59758,Franz Wagner,23/09/1911,MF
Austria,69519,Friederich Franzl,06/03/1905,GK
Austria,46918,Georg Braun,22/02/1907,FW
Austria,59280,Hans Urbanek,10/10/1910,MF
Austria,51009,Johann Horvath,20/05/1903,FW
Austria,59798,Johann Walzhofer,23/03/1906,FW
Austria,174400,Josef Bican,25/09/1913,FW
Austria,69524,Josef Hassmann,21/05/1910,FW
Austria,58165,Josef Smistik,28/11/1905,MF
Austria,58494,Josef Stroh,05/03/1913,FW
Austria,44631,Karl Sesta,18/03/1906,DF
Austria,60365,Karl Zischek,28/08/1910,FW
Austria,50951,Leopold Hofmann,31/10/1905,MF
Austria,69522,Mathias Kaburek,09/02/1911,FW
Austria,44642,Matthias Sindelar,10/02/1903,FW
Austria,174868,Peter Platzer,29/05/1910,GK
Austria,59607,Rudi Viertl,12/11/1902,FW
Austria,56589,Rudolf Raftl,07/02/1911,GK
Austria,44608,Toni Schall,22/06/1907,FW
Austria,69520,Willi Schmaus,16/06/1911,DF
Belgium,69454,Albert Heremans,13/04/1906,FW
Belgium,59389,Andre Van De Weyer,21/06/1909,GK
Belgium,46045,Arnold Badjou,25/06/1909,GK
Belgium,50795,Auguste Hellemans,14/09/1907,MF
Belgium,59711,Bernard Voorhoof,11/05/1910,FW
Belgium,69455,Charles Simons,27/06/1906,MF
Belgium,51567,Costant Joacim,03/03/1908,DF
Belgium,46861,Desire Bourgeois,13/12/1908,MF
Belgium,59887,Felix Welkenhuysen,12/12/1908,MF
Belgium,48478,Francois De Vries,21/08/1913,FW
Belgium,56051,Frans Peeraer,15/02/1913,MF
Belgium,69457,Georges Putmans,29/05/1914,MF
Belgium,46946,Jean Brichaut,29/07/1911,FW
Belgium,47272,Jean Capelle,26/10/1913,FW
Belgium,47807,Jean Claessens,18/06/1908,MF
Belgium,59420,Jos Van Ingelgem,23/01/1919,MF
Belgium,55923,Jules Pappaert,05/11/1905,DF
Belgium,50251,Laurent Grimmonprez,14/12/1902,FW
Belgium,59575,Louis Versyp,05/12/1908,FW
Belgium,58161,Philibert Smellinckx,17/01/1911,DF
Belgium,52860,Rene Ledent,08/11/1907,FW
Belgium,69458,Robert Lamoot,18/03/1911,FW
Brazil,69556,Ariel,22/02/1910,MF
Brazil,63828,Armandinho,06/03/1911,FW
Brazil,69554,Attila,16/12/1910,FW
Brazil,47251,Canalli,12/03/1907,MF
Brazil,69557,Germano,14/03/1911,GK
Brazil,63829,Leonidas,06/09/1913,FW
Brazil,63835,Luisinho,29/03/1911,FW
Brazil,53294,Luiz Luz,29/11/1909,DF
Brazil,63827,Martim,02/03/1911,MF
Brazil,69555,Octacilio,21/11/1909,DF
Brazil,63825,Patesko,12/11/1910,FW
Brazil,56049,Pedrosa,08/07/1913,GK
Brazil,63826,Sylvio Hoffmann,11/05/1905,DF
Brazil,58980,Tinoco,02/12/1904,MF
Brazil,48289,Waldemar De Britto,17/05/1913,FW
Brazil,69558,Waldyr,21/03/1912,MF
Czechoslovakia,174884,Antonin Puc,16/05/1907,FW
Czechoslovakia,69494,Antonin Vodicka,01/03/1907,MF
Czechoslovakia,69493,Cestmir Patzel,02/12/1914,GK
Czechoslovakia,51705,Frantisek Junek,17/01/1907,FW
Czechoslovakia,174865,Frantisek Planicka,02/06/1904,GK
Czechoslovakia,58627,Frantisek Svoboda,05/07/1905,FW
Czechoslovakia,69495,Geza Kalocsay,30/05/1913,FW
Czechoslovakia,174424,Jaroslav Boucek,13/11/1912,MF
Czechoslovakia,47071,Jaroslav Burgr,07/03/1906,DF
Czechoslovakia,58193,Jiri Sobotka,06/06/1911,FW
Czechoslovakia,174482,Josef Ctyroky,30/09/1906,DF
Czechoslovakia,174679,Josef Kostalek,31/08/1909,MF
Czechoslovakia,58020,Josef Silny,23/01/1902,FW
Czechoslovakia,44780,Ladislav Zenisek,07/03/1904,DF
Czechoslovakia,174799,Oldrich Nejedly,26/12/1909,FW
Czechoslovakia,52495,Rudolf Krcil,05/03/1906,MF
Czechoslovakia,174452,Stefan Cambal,17/12/1908,MF
Czechoslovakia,174678,Vlastimil Kopecky,14/10/1912,MF
Egypt,49294,Abdel Rahman Fawzi,11/08/1909,FW
Egypt,181860,Abdel Sharli,,DF
Egypt,48985,Ali Al Sayyed El Kaf,10/04/1908,DF
Egypt,292018,Ali Mohammed El Kaf,15/06/1906, 
Egypt,62377,Aziz Fahmy,,GK
Egypt,69545,Hafez Kasseb,,MF
Egypt,314593,Hany Kamel,, 
Egypt,48943,Hassan El Far,01/01/1913,MF
Egypt,56591,Hassan Raghab,01/01/1909,MF
Egypt,189531,Ibrahim Halim,10/02/1910,MF
Egypt,56578,Ismail Rafa At,01/01/1908,DF
Egypt,53581,Kamel Mansour,02/08/1914,FW
Egypt,198087,Kamel Masoud,02/08/1914,GK
Egypt,292019,Mahmoud Moukhtar,23/12/1907,FW
Egypt,69546,Mahmoud Negro,,FW
Egypt,50689,Mohamed Helmy,13/02/1912,MF
Egypt,52788,Mohamed Latif,23/10/1909,MF
Egypt,181862,Mostafa Kamel Taha,,MF
Egypt,69536,Mostafa Mansour,02/08/1914, 
France,58899,Alex Thepot,30/07/1906,GK
France,45888,Alfred Aston,16/05/1912,FW
France,48405,Celestin Delmer,15/02/1907,MF
France,48382,Edmond Delfour,01/11/1907,MF
France,59523,Emile Veinante,12/06/1907,FW
France,53852,Etienne Mattler,25/12/1905,DF
France,52015,Fritz Keller,21/08/1913,FW
France,69529,Georges Beaucourt,15/04/1912,DF
France,59574,Georges Verriest,15/07/1909,MF
France,53449,Jacques Mairesse,27/02/1904,DF
France,55121,Jean Nicolas,09/06/1913,FW
France,45363,Joseph Alcazar,15/06/1911,FW
France,69527,Joseph Gonzalez,19/02/1907,DF
France,198083,Jules Vandooren,30/12/1908,DF
France,69528,Louis Gabrillargues,16/06/1914,MF
France,29657,Lucien Laurent,10/12/1907,FW
France,53028,Noel Lietaer,17/11/1908,MF
France,69532,Pierre Korb,20/04/1908,FW
France,181856,Rene Llense,14/07/1913,GK
France,69531,Robert Defosse,16/06/1909,GK
France,69530,Roger Courtois,30/05/1912,FW
France,56907,Roger Rio,13/02/1913,MF
Germany,47914,Edmund Conen,10/11/1914,FW
Germany,52908,Ernest Lehner,07/11/1912,FW
Germany,45357,Ernst Albrecht,12/11/1907,MF
Germany,69453,Franz Dienert,,FW
Germany,47022,Fritz Buchloh,26/11/1909,GK
Germany,58662,Fritz Szepan,02/09/1907,FW
Germany,51401,Hans Jakob,16/06/1908,GK
Germany,57745,Hans Schwartz,01/03/1913,DF
Germany,46434,Jakob Bender,23/03/1910,FW
Germany,181804,Josef Streb,16/04/1912,MF
Germany,50950,Karl Hohmann,18/06/1908,FW
Germany,50729,Mathias Heidemann,07/02/1912,FW
Germany,58001,Otto Siffling,03/08/1912,FW
Germany,51436,Paul Janes,11/03/1912,DF
Germany,60354,Paul Zielinski,20/11/1911,MF
Germany,54749,Reinhold Muenzenberg,25/01/1909,DF
Germany,31521,Rudolf Gramlich,06/06/1908,MF
Germany,55223,Rudolf Noack,30/03/1913,FW
Germany,50608,Sigmund Haringer,09/12/1908,DF
Germany,52297,Stanislaus Kobierski,15/11/1910,FW
Germany,52507,Willibald Kress,13/11/1906,GK
Germany,47086,Willy Busch,04/01/1907,DF
Hungary,58646,Antal Szabo,04/09/1910,GK
Hungary,58649,Antal Szalay,12/03/1912,MF
Hungary,58647,Gabor Szabo,14/10/1902,FW
Hungary,59017,Geza Toldi,11/02/1909,FW
Hungary,44605,Gyorgy Sarosi,16/09/1912,FW
Hungary,58678,Gyorgy Szucs,23/04/1912,MF
Hungary,49662,Gyula Futo,29/12/1908,DF
Hungary,174696,Gyula Lazar,24/01/1911,MF
Hungary,174871,Gyula Polgar,08/02/1912,MF
Hungary,53662,Imre Markos,09/06/1908,FW
Hungary,45939,Istvan Avar,27/05/1905,FW
Hungary,55849,Istvan Palotas,05/03/1908,MF
Hungary,58734,Istvan Tamassy,01/01/1911,FW
Hungary,69533,Janos Dudas,01/01/1911,MF
Hungary,59658,Jeno Vincze,20/11/1908,FW
Hungary,50422,Jozsef Hada,02/03/1911,GK
Hungary,59316,Jozsef Vago,01/01/1906,DF
Hungary,58428,Laszlo Sternberg,28/05/1905,DF
Hungary,58843,Pal Teleki,05/03/1906,FW
Hungary,314179,Rezso Somlai,01/01/1911,MF
Hungary,174404,Sandor Biro,19/08/1911,DF
Hungary,52028,Tibor Kemeny,05/03/1913,FW
Italy,50277,Anfilogino Guarisi,26/12/1905,FW
Italy,44610,Angelo Schiavio,15/10/1905,FW
Italy,174460,Armando Castellazzi,07/02/1904,MF
Italy,44040,Atilio Demaria,19/03/1909,FW
Italy,174538,Attilio Ferraris,26/03/1904,MF
Italy,174579,Enrique Guaita,15/07/1910,FW
Italy,174778,Eraldo Monzeglio,05/05/1906,DF
Italy,174420,Felice Borel,05/04/1914,FW
Italy,44013,Giampiero Combi,20/11/1902,GK
Italy,174537,Giovanni Ferrari,06/12/1907,MF
Italy,69443,Giuseppe Cavanna,18/11/1905,GK
Italy,174761,Giuseppe Meazza,23/08/1910,MF
Italy,69444,Guido Masetti,22/11/1907,GK
Italy,174337,Luigi Allemandi,08/11/1903,DF
Italy,174394,Luigi Bertolini,13/09/1904,MF
Italy,174777,Luis Monti,15/05/1901,MF
Italy,174864,Mario Pizziolo,07/12/1909,MF
Italy,69445,Mario Varglien,16/12/1905,MF
Italy,181794,Pietro Arcari,02/12/1909,FW
Italy,174825,Raimundo Orsi,02/12/1901,FW
Italy,181793,Umberto Caligaris,26/07/1901,DF
Italy,44581,Virginio Rosetta,25/02/1902,DF
Netherlands,59426,Adriaan Van Male,07/10/1910,GK
Netherlands,69485,Alex Graafland,16/04/1909,FW
Netherlands,181834,Arie Schoemaker,08/11/1911,FW
Netherlands,55787,Bas Paauwe,04/10/1911,MF
Netherlands,46109,Beb Bakhuys,16/04/1909,FW
Netherlands,59892,Frank Wels,21/02/1909,FW
Netherlands,59388,Gejus Van Der Meulen,23/01/1903,GK
Netherlands,56067,Henk Pellikaan,10/11/1910,MF
Netherlands,69488,Jaap Mol,03/02/1912,FW
Netherlands,69490,Jan Van Diepenbeek,05/08/1903,DF
Netherlands,59431,Joop Van Nellen,15/03/1910,FW
Netherlands,69489,Kees Mijnders,28/09/1912,FW
Netherlands,58166,Kick Smit,03/11/1911,FW
Netherlands,59550,Leen Vente,14/05/1911,FW
Netherlands,69491,Leo Halle,26/01/1906,GK
Netherlands,181835,Manus Vrauwdeunt,29/04/1914,FW
Netherlands,59854,Mauk Weber,13/03/1914,DF
Netherlands,44718,Puck Van Heel,21/01/1904,MF
Netherlands,59435,Sjef Van Run,12/01/1904,DF
Netherlands,69492,Toon Oprinsen,25/11/1910,MF
Netherlands,45570,Willem Anderiesen,27/11/1903,MF
Netherlands,69486,Wim Langendaal,13/04/1909,FW
Romania,174932,Adalbert Pullock,06/04/1907,GK
Romania,69501,Alexandru Cuedan,26/09/1910,MF
Romania,59693,Emerich Vogl,12/08/1905,MF
Romania,45360,Gheorghe Albu,18/11/1909,DF
Romania,69502,Gheorghe Ciolac,10/08/1908,FW
Romania,57838,Gratian Sepi,30/12/1910,FW
Romania,46704,Iuliu Bodola,26/02/1912,FW
Romania,54503,Josif Moravetz,14/01/1911,MF
Romania,69500,Lazar Sfera,29/04/1909,DF
Romania,52463,Nicolae Kovacs,29/12/1911,FW
Romania,48019,Rudolf Kotormany,23/01/1911,MF
Romania,46605,Silviu Bindea,24/10/1912,FW
Romania,48634,Stefan Dobay,26/09/1909,FW
Romania,48362,Vasile Deheleanu,12/08/1910,MF
Romania,60387,William Zombory,11/01/1906,GK
Spain,47457,Chacho,14/04/1911,FW
Spain,47781,Cilaurren,05/11/1912,MF
Spain,47792,Ciriaco,08/08/1904,DF
Spain,46816,Crisanto Bosch,26/12/1907,FW
Spain,49303,Fede,11/05/1908,FW
Spain,50161,Gorostiza,15/02/1909,FW
Spain,69550,Hilario,08/12/1905,MF
Spain,47226,I Guillermo Campanal,09/12/1912,FW
Spain,44539,I Quincoces,17/07/1905,DF
Spain,51276,Iraragorri,16/03/1912,MF
Spain,52723,Isidro Langara,15/05/1912,FW
Spain,54667,Jose Muguerza,15/09/1911,MF
Spain,55236,Juan Nogues,28/03/1909,GK
Spain,52656,Lafuente,31/12/1907,FW
Spain,181824,Luis Marin,04/09/1906,MF
Spain,56771,Luis Regueiro,01/07/1908,FW
Spain,53635,Marculeta,24/09/1907,DF
Spain,59453,Martin Ventolra,16/12/1906,FW
Spain,44774,Ricardo Zamora,21/01/1901,GK
Spain,52859,Simon Lecue,11/02/1912,MF
Spain,69551,Sole,07/05/1905,FW
Spain,60238,Zabalo,10/06/1910,DF
Sweden,57242,Anders Rydberg,03/03/1903,GK
Sweden,69465,Arvid Thoern,,FW
Sweden,69462,Eivar Widlund,01/01/1906,GK
Sweden,314601,Erik Granath,,DF
Sweden,45596,Ernst Andersson,26/03/1909,MF
Sweden,48779,Gosta Dunker,16/09/1905,FW
Sweden,69467,Gunnar Jansson,,FW
Sweden,55566,Gunnar Olsson,19/07/1908,FW
Sweden,314602,Karl Johnsson,,MF
Sweden,52535,Knut Kroon,19/06/1906,FW
Sweden,45384,Nils Axelsson,18/01/1906,DF
Sweden,57136,Nils Rosen,22/05/1902,MF
Sweden,45602,Otto Andersson,07/05/1910,DF
Sweden,50374,Ragnar Gustavsson,28/09/1907,FW
Sweden,47310,Rune Carlsson,01/10/1909,MF
Sweden,198097,Sven Andersson,14/02/1907,DF
Sweden,51569,Sven Jonasson,09/07/1909,FW
Sweden,52017,Tore Keller,04/01/1905,FW
Switzerland,69481,Albert Buche,01/01/1911,FW
